,Repository,LOC,LLOC,SLOC,Comments,Single Comments,Multi,Blank,(C%L),(C%S),(C+M%L)
283,DeepTL-Lane-Change-Classification,82,61,60,1,1,0,21,1%,2%,1%
284,DeepTL-Lane-Change-Classification,22,14,14,0,0,0,8,0%,0%,0%
285,DeepTL-Lane-Change-Classification,275,213,196,8,8,0,71,3%,4%,3%
286,DeepTL-Lane-Change-Classification,80,44,43,26,25,0,12,32%,60%,32%
287,DeepTL-Lane-Change-Classification,209,159,154,8,7,0,48,4%,5%,4%
288,DeepTL-Lane-Change-Classification,433,189,224,84,84,56,69,19%,38%,32%
289,DeepTL-Lane-Change-Classification,184,97,92,30,30,40,22,16%,33%,38%
290,DeepTL-Lane-Change-Classification,168,52,52,72,70,11,35,43%,138%,49%
291,DeepTL-Lane-Change-Classification,173,85,90,23,24,29,30,13%,26%,30%
292,DeepTL-Lane-Change-Classification,112,76,89,13,8,0,15,12%,15%,12%
293,DeepTL-Lane-Change-Classification,459,270,286,52,47,68,58,11%,18%,26%
294,DeepTL-Lane-Change-Classification,2532,1162,1299,454,441,434,358,18%,35%,35%
295,DeepTL-Lane-Change-Classification,41,30,30,0,0,0,11,0%,0%,0%
296,DeepTL-Lane-Change-Classification,690,399,329,87,89,158,114,13%,26%,36%
297,DeepTL-Lane-Change-Classification,18,12,12,3,3,0,3,17%,25%,17%
298,SemanticSegmentation,154,103,113,1,1,6,34,1%,1%,5%
299,SemanticSegmentation,183,109,108,10,14,25,36,5%,9%,19%
300,SemanticSegmentation,192,90,104,18,18,36,34,9%,17%,28%
301,torchbox3d,1,1,0,0,1,0,0,0%,0%,0%
302,torchbox3d,27,9,21,0,2,0,4,0%,0%,0%
303,torchbox3d,50,15,39,0,3,0,8,0%,0%,0%
304,torchbox3d,14,7,5,2,4,0,5,14%,40%,14%
305,torchbox3d,1,1,0,0,1,0,0,0%,0%,0%
306,torchbox3d,71,24,61,0,3,0,7,0%,0%,0%
307,torchbox3d,16,9,7,0,3,0,6,0%,0%,0%
308,torchbox3d,5,3,1,0,2,0,2,0%,0%,0%
309,torchbox3d,1,1,0,0,1,0,0,0%,0%,0%
310,torchbox3d,352,30,334,19,5,0,13,5%,6%,5%
311,torchbox3d,104,32,76,0,3,11,14,0%,0%,11%
312,torchbox3d,60,13,52,0,2,0,6,0%,0%,0%
313,torchbox3d,71,16,55,0,2,6,8,0%,0%,8%
314,torchbox3d,146,30,123,32,9,0,14,22%,26%,22%
315,torchbox3d,293,65,232,6,15,17,29,2%,3%,8%
316,torchbox3d,82,42,50,0,2,10,20,0%,0%,12%
317,torchbox3d,100,50,64,1,3,12,21,1%,2%,13%
318,torchbox3d,3,2,1,0,1,0,1,0%,0%,0%
319,torchbox3d,1,1,0,0,1,0,0,0%,0%,0%
320,torchbox3d,62,38,33,3,3,13,13,5%,9%,26%
321,torchbox3d,1,1,0,0,1,0,0,0%,0%,0%
322,torchbox3d,144,57,90,2,3,29,22,1%,2%,22%
323,torchbox3d,64,36,38,1,4,8,14,2%,3%,14%
324,torchbox3d,84,43,44,2,3,18,19,2%,5%,24%
325,torchbox3d,1,1,0,0,1,0,0,0%,0%,0%
326,torchbox3d,101,77,62,1,3,18,18,1%,2%,19%
327,torchbox3d,1,1,0,0,1,0,0,0%,0%,0%
328,torchbox3d,104,48,69,2,2,20,13,2%,3%,21%
329,torchbox3d,130,69,92,2,3,14,21,2%,2%,12%
330,torchbox3d,1,1,0,0,1,0,0,0%,0%,0%
331,torchbox3d,78,28,51,2,2,14,11,3%,4%,21%
332,torchbox3d,1,1,0,0,1,0,0,0%,0%,0%
333,torchbox3d,146,73,100,5,2,25,19,3%,5%,21%
334,torchbox3d,1,1,0,0,1,0,0,0%,0%,0%
335,torchbox3d,327,187,243,17,12,26,46,5%,7%,13%
336,torchbox3d,1,1,0,0,1,0,0,0%,0%,0%
337,torchbox3d,113,67,64,2,2,25,22,2%,3%,24%
338,torchbox3d,132,56,100,2,3,15,14,2%,2%,13%
339,torchbox3d,174,83,97,0,7,36,34,0%,0%,21%
340,torchbox3d,196,107,117,9,9,40,30,5%,8%,25%
341,torchbox3d,113,72,65,0,7,15,26,0%,0%,13%
342,torchbox3d,1,1,0,0,1,0,0,0%,0%,0%
343,torchbox3d,56,37,33,0,3,7,13,0%,0%,12%
344,torchbox3d,40,32,21,0,2,6,11,0%,0%,15%
345,torchbox3d,38,22,14,0,1,11,12,0%,0%,29%
346,torchbox3d,46,33,25,0,4,6,11,0%,0%,13%
347,torchbox3d,1,1,0,0,1,0,0,0%,0%,0%
348,torchbox3d,33,23,16,0,2,7,8,0%,0%,21%
349,torchbox3d,66,45,42,0,2,11,11,0%,0%,17%
350,torchbox3d,174,78,105,0,4,36,29,0%,0%,21%
351,torchbox3d,26,9,20,0,1,0,5,0%,0%,0%
352,torchbox3d,1,1,0,0,1,0,0,0%,0%,0%
353,torchbox3d,89,36,59,4,4,11,15,4%,7%,17%
354,torchbox3d,61,25,28,2,1,20,12,3%,7%,36%
