,Repository,block_type,Classification
455,self-driving-car-using-ros,M,C
456,self-driving-car-using-ros,M,B
457,self-driving-car-using-ros,M,B
458,self-driving-car-using-ros,M,B
459,self-driving-car-using-ros,C,B
460,self-driving-car-using-ros,M,B
461,self-driving-car-using-ros,M,B
462,self-driving-car-using-ros,M,B
463,self-driving-car-using-ros,M,B
464,self-driving-car-using-ros,C,B
465,self-driving-car-using-ros,M,B
466,self-driving-car-using-ros,M,B
467,self-driving-car-using-ros,C,A
468,self-driving-car-using-ros,M,A
469,self-driving-car-using-ros,C,A
470,self-driving-car-using-ros,C,A
471,self-driving-car-using-ros,C,A
472,self-driving-car-using-ros,C,A
473,self-driving-car-using-ros,C,A
474,self-driving-car-using-ros,C,A
475,self-driving-car-using-ros,M,A
476,self-driving-car-using-ros,M,A
477,self-driving-car-using-ros,M,A
478,self-driving-car-using-ros,M,A
479,self-driving-car-using-ros,M,A
480,self-driving-car-using-ros,M,A
481,self-driving-car-using-ros,M,A
482,self-driving-car-using-ros,F,A
483,self-driving-car-using-ros,F,A
484,self-driving-car-using-ros,F,A
485,self-driving-car-using-ros,F,A
486,self-driving-car-using-ros,F,A
487,self-driving-car-using-ros,F,A
488,self-driving-car-using-ros,F,A
489,self-driving-car-using-ros,F,A
490,self-driving-car-using-ros,M,A
491,self-driving-car-using-ros,M,A
492,self-driving-car-using-ros,M,A
493,self-driving-car-using-ros,M,A
494,self-driving-car-using-ros,M,A
495,self-driving-car-using-ros,M,A
496,self-driving-car-using-ros,M,A
497,self-driving-car-using-ros,M,C
498,self-driving-car-using-ros,M,B
499,self-driving-car-using-ros,M,B
500,self-driving-car-using-ros,M,B
501,self-driving-car-using-ros,C,B
502,self-driving-car-using-ros,M,B
503,self-driving-car-using-ros,M,B
504,self-driving-car-using-ros,M,B
505,self-driving-car-using-ros,M,B
506,self-driving-car-using-ros,M,B
507,self-driving-car-using-ros,C,B
508,self-driving-car-using-ros,M,A
509,self-driving-car-using-ros,M,A
510,self-driving-car-using-ros,M,A
511,self-driving-car-using-ros,M,A
512,self-driving-car-using-ros,M,A
513,self-driving-car-using-ros,M,A
514,self-driving-car-using-ros,M,A
515,self-driving-car-using-ros,M,A
516,self-driving-car-using-ros,M,A
517,self-driving-car-using-ros,C,A
518,self-driving-car-using-ros,C,A
519,self-driving-car-using-ros,M,A
520,self-driving-car-using-ros,C,A
521,self-driving-car-using-ros,C,A
522,self-driving-car-using-ros,C,A
523,self-driving-car-using-ros,C,A
524,self-driving-car-using-ros,C,A
525,self-driving-car-using-ros,C,A
526,self-driving-car-using-ros,M,A
527,self-driving-car-using-ros,M,A
528,self-driving-car-using-ros,M,A
529,self-driving-car-using-ros,M,A
530,self-driving-car-using-ros,M,A
531,self-driving-car-using-ros,C,A
532,self-driving-car-using-ros,C,A
533,self-driving-car-using-ros,C,A
534,self-driving-car-using-ros,C,A
535,self-driving-car-using-ros,M,A
536,self-driving-car-using-ros,M,A
537,self-driving-car-using-ros,C,A
538,self-driving-car-using-ros,C,A
539,self-driving-car-using-ros,C,A
540,self-driving-car-using-ros,M,A
541,self-driving-car-using-ros,C,A
542,self-driving-car-using-ros,M,A
543,self-driving-car-using-ros,C,A
544,self-driving-car-using-ros,M,A
545,self-driving-car-using-ros,M,A
546,self-driving-car-using-ros,M,A
547,self-driving-car-using-ros,M,A
548,self-driving-car-using-ros,M,A
549,self-driving-car-using-ros,M,A
550,self-driving-car-using-ros,M,A
551,self-driving-car-using-ros,M,A
552,self-driving-car-using-ros,M,A
553,self-driving-car-using-ros,M,A
554,self-driving-car-using-ros,M,A
555,self-driving-car-using-ros,M,A
556,self-driving-car-using-ros,M,A
557,self-driving-car-using-ros,M,A
558,self-driving-car-using-ros,M,A
559,self-driving-car-using-ros,M,A
560,self-driving-car-using-ros,M,A
561,self-driving-car-using-ros,M,A
562,self-driving-car-using-ros,M,A
563,self-driving-car-using-ros,M,A
564,self-driving-car-using-ros,M,A
565,self-driving-car-using-ros,M,A
566,self-driving-car-using-ros,M,A
567,self-driving-car-using-ros,M,A
568,self-driving-car-using-ros,M,A
569,self-driving-car-using-ros,M,A
570,self-driving-car-using-ros,M,A
571,self-driving-car-using-ros,M,A
572,self-driving-car-using-ros,M,A
573,self-driving-car-using-ros,M,A
574,self-driving-car-using-ros,M,A
575,self-driving-car-using-ros,M,A
576,self-driving-car-using-ros,M,A
577,self-driving-car-using-ros,M,A
578,self-driving-car-using-ros,M,A
579,self-driving-car-using-ros,M,A
580,self-driving-car-using-ros,M,A
581,self-driving-car-using-ros,M,A
582,self-driving-car-using-ros,M,A
583,self-driving-car-using-ros,M,A
584,self-driving-car-using-ros,M,D
585,self-driving-car-using-ros,M,C
