,Repository,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
74,self-driving-car-using-ros,7,13,10,18,20,28,67.75720079023742,121.01398665684616,4.846153846153846,586.4523968754852,32.58068871530473,0.040337995552282055
75,self-driving-car-using-ros,4,18,12,21,22,33,83.05865002596161,147.1612434150308,2.3333333333333335,343.3762346350719,19.076457479726216,0.04905374780501027
76,self-driving-car-using-ros,21,693,501,953,714,1454,6631.879764579444,13783.60050389831,14.43939393939394,199026.8375790165,11057.046532167582,4.594533501299437
77,self-driving-car-using-ros,19,609,434,813,628,1247,5714.142359260384,11590.39207386786,12.682266009852217,146992.4354392749,8166.246413293051,3.8634640246226204
78,self-driving-car-using-ros,3,11,6,12,14,18,42.808635307173745,68.53238859703687,1.6363636363636365,112.14390861333307,6.23021714518517,0.022844129532345624
79,self-driving-car-using-ros,18,814,573,1116,832,1689,7945.531027218687,16384.042683940304,12.339066339066338,202163.7895792339,11231.321643290772,5.461347561313435
80,self-driving-car-using-ros,10,53,38,74,63,112,336.79906504072324,669.4553514319907,6.981132075471698,4673.5562269780485,259.6420126098916,0.22315178381066358
81,self-driving-car-using-ros,13,170,125,238,183,363,1307.7021754792436,2728.1990412971077,9.1,24826.61127580368,1379.2561819890934,0.9093996804323692
82,self-driving-car-using-ros,10,56,41,81,66,122,358.4311565840995,737.4160825617313,7.232142857142857,5333.098454241092,296.28324745783846,0.24580536085391042
83,self-driving-car-using-ros,0,0,0,0,0,0,0,0,0,0,0.0,0.0
84,self-driving-car-using-ros,13,68,52,101,81,153,462.0531895408573,969.9970504413477,9.654411764705882,9364.750935510952,520.2639408617196,0.3233323501471159
85,self-driving-car-using-ros,9,36,25,49,45,74,214.64662506490404,406.39712912839593,6.125,2489.182415911425,138.28791199507916,0.1354657097094653
86,self-driving-car-using-ros,8,23,16,31,31,47,128.0419249893113,232.84722658818316,5.391304347826087,1255.3502650841178,69.7416813935621,0.07761574219606106
87,self-driving-car-using-ros,8,23,16,31,31,47,128.0419249893113,232.84722658818316,5.391304347826087,1255.3502650841178,69.7416813935621,0.07761574219606106
88,self-driving-car-using-ros,9,35,26,51,44,77,208.05423060605463,420.3762346350719,6.557142857142857,2756.4670242499715,153.13705690277618,0.14012541154502398
89,self-driving-car-using-ros,14,120,114,217,134,331,882.1298403818287,2338.8755220415223,12.658333333333333,29606.265983175603,1644.792554620867,0.7796251740138408
90,self-driving-car-using-ros,9,62,46,91,71,137,397.6894962569671,842.5153553721415,6.604838709677419,5564.678032659547,309.14877959219706,0.2808384517907138
91,self-driving-car-using-ros,14,90,59,110,104,169,637.5697475784772,1132.3743123658446,8.555555555555555,9688.091339130004,538.2272966183335,0.3774581041219482
92,self-driving-car-using-ros,0,0,0,0,0,0,0,0,0,0,0.0,0.0
93,self-driving-car-using-ros,15,70,49,95,85,144,487.6531701202755,922.9522948038292,10.178571428571429,9394.33585782469,521.9075476569272,0.30765076493460974
94,self-driving-car-using-ros,18,299,220,415,317,635,2534.035150611195,5275.795284138524,12.491638795986622,65903.32905102805,3661.2960583904473,1.7585984280461746
95,self-driving-car-using-ros,0,0,0,0,0,0,0,0,0,0,0.0,0.0
96,self-driving-car-using-ros,18,875,587,1116,893,1703,8626.55545590569,16693.685369801442,11.478857142857143,191624.42954775508,10645.801641541948,5.564561789933814
97,self-driving-car-using-ros,19,817,579,1110,836,1689,7984.525705830452,16395.729574084613,12.906976744186046,211619.3003166735,11756.62779537075,5.465243191361537
98,self-driving-car-using-ros,16,252,172,331,268,503,2074.274540721979,4057.2428628002594,10.507936507936508,42633.25039958368,2368.5139110879823,1.3524142876000864
99,COLA,15,153,121,236,168,357,1168.9836988661036,2639.0573199320174,11.568627450980392,30530.270956076278,1696.1261642264599,0.8796857733106724
100,COLA,13,98,65,121,111,186,696.3472810591247,1263.7613511411198,8.025510204081632,10142.329619107048,563.4627566170582,0.4212537837137066
101,COLA,10,96,62,111,106,173,665.3756810181046,1163.9302386394334,5.78125,6728.971692134224,373.8317606741236,0.38797674621314443
