,Repository,Smell Type,Information
350,VoxFormer,E0401,(import-error)
351,VoxFormer,E0401,(import-error)
352,VoxFormer,C0115,(missing-class-docstring)
353,VoxFormer,R0913,(too-many-arguments)
354,VoxFormer,R0914,(too-many-locals)
355,VoxFormer,R1725,(super-with-arguments)
356,VoxFormer,W0613,(unused-argument)
357,VoxFormer,C0103,(invalid-name)
358,VoxFormer,C0103,(invalid-name)
359,VoxFormer,C0103,(invalid-name)
360,VoxFormer,C0103,(invalid-name)
361,VoxFormer,C0103,(invalid-name)
362,VoxFormer,C0103,(invalid-name)
363,VoxFormer,C0103,(invalid-name)
364,VoxFormer,C0103,(invalid-name)
365,VoxFormer,C0103,(invalid-name)
366,VoxFormer,C0103,(invalid-name)
367,VoxFormer,W0613,(unused-argument)
368,VoxFormer,R1705,(no-else-return)
369,VoxFormer,C0103,(invalid-name)
370,VoxFormer,C0103,(invalid-name)
371,VoxFormer,R1735,(use-dict-literal)
372,VoxFormer,W0612,(unused-variable)
373,VoxFormer,W0612,(unused-variable)
374,VoxFormer,W0612,(unused-variable)
375,VoxFormer,C0103,(invalid-name)
376,VoxFormer,C0103,(invalid-name)
377,VoxFormer,W0613,(unused-argument)
378,VoxFormer,W0612,(unused-variable)
379,VoxFormer,W0612,(unused-variable)
380,VoxFormer,W0612,(unused-variable)
381,VoxFormer,C0411,(wrong-import-order)
382,VoxFormer,W0611,(unused-import)
383,VoxFormer,W0611,(unused-import)
384,VoxFormer,W0611,(unused-import)
385,VoxFormer,W0611,(unused-import)
386,VoxFormer,W0611,(unused-import)
387,VoxFormer,W0611,(unused-import)
388,VoxFormer,W0611,(unused-import)
389,VoxFormer,W0611,(unused-import)
390,VoxFormer,W0611,(unused-import)
391,VoxFormer,C0301,(line-too-long)
392,VoxFormer,C0301,(line-too-long)
393,VoxFormer,C0301,(line-too-long)
394,VoxFormer,C0301,(line-too-long)
395,VoxFormer,C0301,(line-too-long)
396,VoxFormer,C0301,(line-too-long)
397,VoxFormer,W0311,(bad-indentation)
398,VoxFormer,C0301,(line-too-long)
399,VoxFormer,W0311,(bad-indentation)
400,VoxFormer,C0301,(line-too-long)
401,VoxFormer,W0311,(bad-indentation)
402,VoxFormer,C0301,(line-too-long)
403,VoxFormer,W0311,(bad-indentation)
404,VoxFormer,C0301,(line-too-long)
405,VoxFormer,W0311,(bad-indentation)
406,VoxFormer,C0301,(line-too-long)
407,VoxFormer,W0311,(bad-indentation)
408,VoxFormer,C0301,(line-too-long)
409,VoxFormer,W0311,(bad-indentation)
410,VoxFormer,C0301,(line-too-long)
411,VoxFormer,W0311,(bad-indentation)
412,VoxFormer,C0301,(line-too-long)
413,VoxFormer,W0311,(bad-indentation)
414,VoxFormer,C0303,(trailing-whitespace)
415,VoxFormer,W0311,(bad-indentation)
416,VoxFormer,W0311,(bad-indentation)
417,VoxFormer,W0311,(bad-indentation)
418,VoxFormer,W0311,(bad-indentation)
419,VoxFormer,C0301,(line-too-long)
420,VoxFormer,C0301,(line-too-long)
421,VoxFormer,C0303,(trailing-whitespace)
422,VoxFormer,C0303,(trailing-whitespace)
423,VoxFormer,W0311,(bad-indentation)
424,VoxFormer,W0311,(bad-indentation)
425,VoxFormer,W0311,(bad-indentation)
426,VoxFormer,W0311,(bad-indentation)
427,VoxFormer,W0311,(bad-indentation)
428,VoxFormer,W0311,(bad-indentation)
429,VoxFormer,W0311,(bad-indentation)
430,VoxFormer,W0311,(bad-indentation)
431,VoxFormer,W0311,(bad-indentation)
432,VoxFormer,W0311,(bad-indentation)
433,VoxFormer,W0311,(bad-indentation)
434,VoxFormer,W0311,(bad-indentation)
435,VoxFormer,W0311,(bad-indentation)
436,VoxFormer,W0311,(bad-indentation)
437,VoxFormer,W0311,(bad-indentation)
438,VoxFormer,W0311,(bad-indentation)
439,VoxFormer,W0311,(bad-indentation)
440,VoxFormer,W0311,(bad-indentation)
441,VoxFormer,W0311,(bad-indentation)
442,VoxFormer,W0311,(bad-indentation)
443,VoxFormer,W0311,(bad-indentation)
444,VoxFormer,W0311,(bad-indentation)
445,VoxFormer,W0311,(bad-indentation)
446,VoxFormer,W0311,(bad-indentation)
447,VoxFormer,W0311,(bad-indentation)
448,VoxFormer,W0311,(bad-indentation)
449,VoxFormer,W0311,(bad-indentation)
450,VoxFormer,W0311,(bad-indentation)
451,VoxFormer,W0311,(bad-indentation)
452,VoxFormer,W0311,(bad-indentation)
453,VoxFormer,W0311,(bad-indentation)
454,VoxFormer,W0311,(bad-indentation)
455,VoxFormer,C0301,(line-too-long)
456,VoxFormer,W0311,(bad-indentation)
457,VoxFormer,W0311,(bad-indentation)
458,VoxFormer,W0311,(bad-indentation)
459,VoxFormer,C0301,(line-too-long)
460,VoxFormer,W0311,(bad-indentation)
461,VoxFormer,W0311,(bad-indentation)
462,VoxFormer,C0301,(line-too-long)
463,VoxFormer,C0301,(line-too-long)
464,VoxFormer,C0303,(trailing-whitespace)
465,VoxFormer,C0301,(line-too-long)
466,VoxFormer,C0301,(line-too-long)
467,VoxFormer,C0303,(trailing-whitespace)
468,VoxFormer,C0303,(trailing-whitespace)
469,VoxFormer,C0301,(line-too-long)
470,VoxFormer,C0301,(line-too-long)
471,VoxFormer,C0303,(trailing-whitespace)
472,VoxFormer,C0303,(trailing-whitespace)
473,VoxFormer,C0301,(line-too-long)
474,VoxFormer,C0301,(line-too-long)
475,VoxFormer,C0301,(line-too-long)
476,VoxFormer,C0301,(line-too-long)
477,VoxFormer,C0303,(trailing-whitespace)
478,VoxFormer,W0311,(bad-indentation)
479,VoxFormer,W0311,(bad-indentation)
480,VoxFormer,W0311,(bad-indentation)
481,VoxFormer,W0311,(bad-indentation)
482,VoxFormer,W0311,(bad-indentation)
483,VoxFormer,W0311,(bad-indentation)
484,VoxFormer,C0301,(line-too-long)
485,VoxFormer,W0311,(bad-indentation)
486,VoxFormer,W0311,(bad-indentation)
487,VoxFormer,C0301,(line-too-long)
488,VoxFormer,W0311,(bad-indentation)
489,VoxFormer,W0311,(bad-indentation)
490,VoxFormer,W0311,(bad-indentation)
491,VoxFormer,W0311,(bad-indentation)
492,VoxFormer,W0311,(bad-indentation)
493,VoxFormer,W0311,(bad-indentation)
494,VoxFormer,W0311,(bad-indentation)
495,VoxFormer,W0311,(bad-indentation)
496,VoxFormer,W0311,(bad-indentation)
497,VoxFormer,W0311,(bad-indentation)
498,VoxFormer,W0311,(bad-indentation)
499,VoxFormer,W0311,(bad-indentation)
500,VoxFormer,C0114,(missing-module-docstring)
501,VoxFormer,E0401,(import-error)
502,VoxFormer,E0401,(import-error)
503,VoxFormer,E0401,(import-error)
504,VoxFormer,R0402,(consider-using-from-import)
505,VoxFormer,E0401,(import-error)
506,VoxFormer,E0401,(import-error)
507,VoxFormer,E0401,(import-error)
508,VoxFormer,E0401,(import-error)
509,VoxFormer,E0401,(import-error)
510,VoxFormer,E0401,(import-error)
511,VoxFormer,E0401,(import-error)
512,VoxFormer,E0401,(import-error)
513,VoxFormer,E0401,(import-error)
514,VoxFormer,C0115,(missing-class-docstring)
515,VoxFormer,C0103,(invalid-name)
516,VoxFormer,C0103,(invalid-name)
517,VoxFormer,C0103,(invalid-name)
518,VoxFormer,C0103,(invalid-name)
519,VoxFormer,C0103,(invalid-name)
520,VoxFormer,R0902,(too-many-instance-attributes)
521,VoxFormer,R0913,(too-many-arguments)
522,VoxFormer,R0914,(too-many-locals)
523,VoxFormer,R1725,(super-with-arguments)
524,VoxFormer,W0105,(pointless-string-statement)
525,VoxFormer,C0103,(invalid-name)
526,VoxFormer,R1714,(consider-using-in)
527,VoxFormer,R1714,(consider-using-in)
528,VoxFormer,C0116,(missing-function-docstring)
529,VoxFormer,W0622,(redefined-builtin)
530,VoxFormer,C0103,(invalid-name)
531,VoxFormer,R1705,(no-else-return)
532,VoxFormer,C0103,(invalid-name)
533,VoxFormer,C0103,(invalid-name)
534,VoxFormer,C0103,(invalid-name)
535,VoxFormer,C0103,(invalid-name)
536,VoxFormer,C0103,(invalid-name)
537,VoxFormer,C0103,(invalid-name)
538,VoxFormer,C0103,(invalid-name)
539,VoxFormer,C0103,(invalid-name)
540,VoxFormer,C0103,(invalid-name)
541,VoxFormer,C0103,(invalid-name)
542,VoxFormer,C0103,(invalid-name)
543,VoxFormer,C0103,(invalid-name)
544,VoxFormer,C0103,(invalid-name)
545,VoxFormer,C0103,(invalid-name)
546,VoxFormer,R1710,(inconsistent-return-statements)
547,VoxFormer,R1705,(no-else-return)
548,VoxFormer,C0116,(missing-function-docstring)
549,VoxFormer,R1735,(use-dict-literal)
550,VoxFormer,R1735,(use-dict-literal)
551,VoxFormer,C0116,(missing-function-docstring)
552,VoxFormer,C0103,(invalid-name)
553,VoxFormer,R0913,(too-many-arguments)
554,VoxFormer,R0914,(too-many-locals)
555,VoxFormer,E0602,(undefined-variable)
556,VoxFormer,R1735,(use-dict-literal)
557,VoxFormer,W0613,(unused-argument)
558,VoxFormer,W0613,(unused-argument)
559,VoxFormer,W0613,(unused-argument)
560,VoxFormer,W0613,(unused-argument)
561,VoxFormer,W0612,(unused-variable)
562,VoxFormer,R0902,(too-many-instance-attributes)
563,VoxFormer,C0116,(missing-function-docstring)
564,VoxFormer,C0103,(invalid-name)
565,VoxFormer,C0103,(invalid-name)
566,VoxFormer,R0903,(too-few-public-methods)
567,VoxFormer,C0411,(wrong-import-order)
568,VoxFormer,C0411,(wrong-import-order)
569,VoxFormer,C0411,(wrong-import-order)
570,VoxFormer,W0611,(unused-import)
571,VoxFormer,W0611,(unused-import)
572,VoxFormer,W0611,(unused-import)
573,VoxFormer,W0611,(unused-import)
574,VoxFormer,W0611,(unused-import)
575,VoxFormer,W0611,(unused-import)
576,VoxFormer,W0611,(unused-import)
577,VoxFormer,W0611,(unused-import)
578,VoxFormer,W0611,(unused-import)
579,VoxFormer,W0611,(unused-import)
580,VoxFormer,W0611,(unused-import)
581,VoxFormer,W0611,(unused-import)
582,VoxFormer,W0611,(unused-import)
583,VoxFormer,W0611,(unused-import)
584,VoxFormer,C0301,(line-too-long)
585,VoxFormer,C0301,(line-too-long)
586,VoxFormer,C0114,(missing-module-docstring)
587,VoxFormer,E0401,(import-error)
588,VoxFormer,E0401,(import-error)
589,VoxFormer,E0401,(import-error)
590,VoxFormer,R0402,(consider-using-from-import)
591,VoxFormer,E0401,(import-error)
592,VoxFormer,E0401,(import-error)
593,VoxFormer,E0401,(import-error)
594,VoxFormer,E0401,(import-error)
595,VoxFormer,E0401,(import-error)
596,VoxFormer,E0401,(import-error)
597,VoxFormer,R0902,(too-many-instance-attributes)
598,VoxFormer,R0913,(too-many-arguments)
599,VoxFormer,C0103,(invalid-name)
600,VoxFormer,C0209,(consider-using-f-string)
601,VoxFormer,R0913,(too-many-arguments)
602,VoxFormer,R0914,(too-many-locals)
603,VoxFormer,C0103,(invalid-name)
604,VoxFormer,C0103,(invalid-name)
605,VoxFormer,C0103,(invalid-name)
606,VoxFormer,R0912,(too-many-branches)
607,VoxFormer,W0613,(unused-argument)
608,VoxFormer,W0613,(unused-argument)
609,VoxFormer,W0613,(unused-argument)
610,VoxFormer,C0411,(wrong-import-order)
611,VoxFormer,C0411,(wrong-import-order)
612,VoxFormer,C0411,(wrong-import-order)
613,VoxFormer,C0411,(wrong-import-order)
614,VoxFormer,C0411,(wrong-import-order)
615,VoxFormer,C0411,(wrong-import-order)
616,VoxFormer,C0411,(wrong-import-order)
617,VoxFormer,C0411,(wrong-import-order)
618,VoxFormer,C0411,(wrong-import-order)
619,VoxFormer,C0411,(wrong-import-order)
620,VoxFormer,C0412,(ungrouped-imports)
621,VoxFormer,W0611,(unused-import)
622,VoxFormer,W0611,(unused-import)
623,VoxFormer,W0611,(unused-import)
624,VoxFormer,W0611,(unused-import)
625,VoxFormer,W0611,(unused-import)
626,VoxFormer,W0611,(unused-import)
627,VoxFormer,W0611,(unused-import)
628,VoxFormer,C0114,(missing-module-docstring)
629,VoxFormer,E0401,(import-error)
630,VoxFormer,E0401,(import-error)
631,VoxFormer,E0401,(import-error)
632,VoxFormer,E0401,(import-error)
633,VoxFormer,C0115,(missing-class-docstring)
634,VoxFormer,C0103,(invalid-name)
635,VoxFormer,R0913,(too-many-arguments)
636,VoxFormer,C0115,(missing-class-docstring)
637,VoxFormer,C0103,(invalid-name)
638,VoxFormer,R0913,(too-many-arguments)
639,VoxFormer,C0114,(missing-module-docstring)
640,VoxFormer,C0303,(trailing-whitespace)
641,VoxFormer,C0301,(line-too-long)
642,VoxFormer,C0303,(trailing-whitespace)
643,VoxFormer,C0303,(trailing-whitespace)
644,VoxFormer,C0301,(line-too-long)
