,Repository,LOC,LLOC,SLOC,Comments,Single Comments,Multi,Blank,(C%L),(C%S),(C+M%L)
268,PythonRobotics,0,0,0,0,0,0,0,0%,0%,0%
269,PythonRobotics,215,145,147,22,9,8,51,10%,15%,14%
270,PythonRobotics,312,187,188,39,31,12,81,12%,21%,16%
271,PythonRobotics,236,169,169,9,4,4,59,4%,5%,6%
272,PythonRobotics,616,378,397,51,33,54,132,8%,13%,17%
273,PythonRobotics,621,438,416,50,13,26,166,8%,12%,12%
274,PythonRobotics,0,0,0,0,0,0,0,0%,0%,0%
275,PythonRobotics,288,182,183,16,9,12,84,6%,9%,10%
276,PythonRobotics,217,115,107,18,12,47,51,8%,17%,30%
277,PythonRobotics,12,8,8,0,0,0,4,0%,0%,0%
278,PythonRobotics,11,7,7,1,0,0,4,9%,14%,9%
279,PythonRobotics,12,8,8,0,0,0,4,0%,0%,0%
280,PythonRobotics,11,7,7,1,0,0,4,9%,14%,9%
281,PythonRobotics,11,7,7,0,0,0,4,0%,0%,0%
282,PythonRobotics,92,54,63,18,0,0,29,20%,29%,20%
283,PythonRobotics,11,7,7,1,0,0,4,9%,14%,9%
284,PythonRobotics,48,17,37,2,2,0,9,4%,5%,4%
285,PythonRobotics,27,15,19,1,0,0,8,4%,5%,4%
286,PythonRobotics,13,10,9,1,1,0,3,8%,11%,8%
287,PythonRobotics,118,45,98,0,0,0,20,0%,0%,0%
288,PythonRobotics,12,7,8,1,0,0,4,8%,12%,8%
289,PythonRobotics,11,7,7,1,0,0,4,9%,14%,9%
290,PythonRobotics,13,9,9,0,0,0,4,0%,0%,0%
291,PythonRobotics,11,7,7,1,0,0,4,9%,14%,9%
292,PythonRobotics,11,7,7,0,0,0,4,0%,0%,0%
293,PythonRobotics,36,17,24,3,2,0,10,8%,12%,8%
294,PythonRobotics,12,8,8,0,0,0,4,0%,0%,0%
295,PythonRobotics,14,9,9,0,0,0,5,0%,0%,0%
296,PythonRobotics,11,7,7,1,0,0,4,9%,14%,9%
297,PythonRobotics,11,7,7,0,0,0,4,0%,0%,0%
298,PythonRobotics,20,12,15,1,0,0,5,5%,7%,5%
299,PythonRobotics,11,7,7,0,0,0,4,0%,0%,0%
300,PythonRobotics,18,9,13,0,0,0,5,0%,0%,0%
301,PythonRobotics,11,7,7,0,0,0,4,0%,0%,0%
302,PythonRobotics,12,8,8,1,0,0,4,8%,12%,8%
303,PythonRobotics,50,21,40,0,0,0,10,0%,0%,0%
304,PythonRobotics,11,7,7,0,0,0,4,0%,0%,0%
305,PythonRobotics,13,9,9,0,0,0,4,0%,0%,0%
306,PythonRobotics,11,7,7,0,0,0,4,0%,0%,0%
307,PythonRobotics,15,9,10,1,0,0,5,7%,10%,7%
308,PythonRobotics,11,7,7,0,0,0,4,0%,0%,0%
309,PythonRobotics,57,36,41,7,0,0,16,12%,17%,12%
310,PythonRobotics,11,7,7,1,0,0,4,9%,14%,9%
311,PythonRobotics,12,7,7,0,0,0,5,0%,0%,0%
312,PythonRobotics,11,7,7,1,0,0,4,9%,14%,9%
313,PythonRobotics,0,0,0,0,0,0,0,0%,0%,0%
314,PythonRobotics,11,7,7,1,0,0,4,9%,14%,9%
315,PythonRobotics,12,8,8,0,0,0,4,0%,0%,0%
316,PythonRobotics,11,7,7,0,0,0,4,0%,0%,0%
317,PythonRobotics,11,7,7,1,0,0,4,9%,14%,9%
318,PythonRobotics,58,34,42,2,1,0,15,3%,5%,3%
319,PythonRobotics,44,28,28,5,5,0,11,11%,18%,11%
320,PythonRobotics,16,10,10,0,0,0,6,0%,0%,0%
321,PythonRobotics,12,7,8,1,0,0,4,8%,12%,8%
322,PythonRobotics,11,7,7,1,0,0,4,9%,14%,9%
323,PythonRobotics,11,7,7,0,0,0,4,0%,0%,0%
324,PythonRobotics,19,12,12,1,0,0,7,5%,8%,5%
325,PythonRobotics,11,7,7,0,0,0,4,0%,0%,0%
326,PythonRobotics,21,13,13,0,0,0,8,0%,0%,0%
327,PythonRobotics,74,38,48,3,0,0,26,4%,6%,4%
328,PythonRobotics,14,9,9,1,0,0,5,7%,11%,7%
329,PythonRobotics,11,7,7,1,0,0,4,9%,14%,9%
330,PythonRobotics,11,7,7,0,0,0,4,0%,0%,0%
331,PythonRobotics,11,7,7,0,0,0,4,0%,0%,0%
332,PythonRobotics,12,7,8,0,0,0,4,0%,0%,0%
333,PythonRobotics,29,19,20,0,0,0,9,0%,0%,0%
334,PythonRobotics,11,7,7,0,0,0,4,0%,0%,0%
335,PythonRobotics,11,7,7,1,0,0,4,9%,14%,9%
336,PythonRobotics,11,7,7,1,0,0,4,9%,14%,9%
337,PythonRobotics,63,39,44,3,0,0,19,5%,7%,5%
338,PythonRobotics,11,7,7,1,0,0,4,9%,14%,9%
339,PythonRobotics,18,10,11,1,0,0,7,6%,9%,6%
340,PythonRobotics,16,10,10,1,0,0,6,6%,10%,6%
341,PythonRobotics,11,7,7,0,0,0,4,0%,0%,0%
342,PythonRobotics,11,7,7,0,0,0,4,0%,0%,0%
343,PythonRobotics,11,7,7,1,0,0,4,9%,14%,9%
344,PythonRobotics,14,8,7,1,0,3,4,7%,14%,29%
345,PythonRobotics,11,7,7,0,0,0,4,0%,0%,0%
346,PythonRobotics,22,13,12,1,0,4,6,5%,8%,23%
347,PythonRobotics,11,7,7,0,0,0,4,0%,0%,0%
348,PythonRobotics,15,11,11,1,0,0,4,7%,9%,7%
349,PythonRobotics,11,7,7,0,0,0,4,0%,0%,0%
350,PythonRobotics,12,8,8,0,0,0,4,0%,0%,0%
351,PythonRobotics,14,9,9,1,0,0,5,7%,11%,7%
352,PythonRobotics,11,7,7,0,0,0,4,0%,0%,0%
353,PythonRobotics,49,31,33,3,3,0,13,6%,9%,6%
354,PythonRobotics,16,10,10,0,0,0,6,0%,0%,0%
