,Repository,comment_ratio,cyclomatic_complexity,fanout_external,fanout_internal,halstead_bugprop,halstead_difficulty,halstead_effort,halstead_timerequired,halstead_volume
51,PythonRobotics,0.0,3,3,1,0.03125512476486815,4.375,410.22351253889445,22.790195141049693,93.76537429460444
52,pylot,0.0,6,4,0,0.4855663275884624,18.387755102040817,26785.424152481915,1488.0791195823285,1456.6989827653872
53,pylot,23.072060682680153,15,6,0,2.5521464914326484,60.50847457627118,463279.4732753163,25737.74851529535,7656.439474297945
54,VoxFormer,26.78368767496406,23,13,1,6.307517987542098,86.4319526627219,1635513.2883555165,90861.84935308425,18922.553962626294
55,pylot,3.548837591390783,27,22,1,3.0470425922030904,40.05,366102.1674532013,20339.00930295563,9141.127776609272
56,CVPR2023-3D-Occupancy-Prediction,12.223451327433628,33,19,1,4.099862745700156,42.32233502538071,520547.2940447977,28919.294113599874,12299.588237100468
57,pylot,9.483208630589873,7,9,1,1.6329246132128088,42.471590909090914,208058.7184732798,11558.817692959989,4898.773839638427
58,pylot,10.508474576271187,2,1,0,0.012924812503605781,5.0,193.8721875540867,10.77067708633815,38.77443751081734
59,l5kit,29.676915059927044,3,9,1,3.159159999606571,75.50427350427351,715590.2419621655,39755.013442342526,9477.479998819714
60,pylot,36.71486669679169,1,7,1,0.8238366378492126,32.22,79632.04941450487,4424.002745250271,2471.5099135476376
61,PythonRobotics,12.739622641509435,9,10,1,4.488312545546314,66.81012658227847,899594.1879263334,49977.4548847963,13464.937636638944
62,pylot,39.862825788751714,1,11,1,0.7292514978210335,17.232876712328768,37701.303462692886,2094.5168590384937,2187.7544934631005
63,pylot,12.393967954759662,4,7,1,0.5059338501182696,11.0,16695.817053902898,927.5453918834943,1517.8015503548088
64,l5kit,6.7628045748383885,0,8,1,0.7102358079454222,25.47457627118644,54278.86878010014,3015.4927100055634,2130.7074238362666
65,pylot,45.701168614357265,0,2,0,0.39102856475187864,20.26923076923077,23777.544648950774,1320.9747027194874,1173.0856942556359
66,PythonRobotics,0.0,3,3,1,0.03125512476486815,4.375,410.22351253889445,22.790195141049693,93.76537429460444
67,l5kit,4.728328494400664,0,8,1,0.7077104055534067,26.18,55583.57525216456,3087.976402898031,2123.13121666022
68,l5kit,22.381152713504417,2,8,1,1.378452150150962,36.02597402597402,148980.24407215978,8276.6802262311,4135.356450452886
69,CVPR2023-3D-Occupancy-Prediction,19.11013858497447,2,5,1,0.2965774582528318,25.875,23021.825196876074,1278.9902887153376,889.7323747584956
70,PythonRobotics,0.0,3,3,1,0.04359960364000362,4.8999999999999995,640.9141735080531,35.606342972669616,130.79881092001085
71,l5kit,24.1350115708077,3,13,1,4.958037154638062,60.43529411764706,898921.3010603198,49940.07228112887,14874.111463914187
72,CVPR2023-3D-Occupancy-Prediction,18.70653685674548,3,3,1,0.5700439718141092,19.950000000000003,34117.131713074436,1895.396206281913,1710.1319154423275
73,pylot,16.337148803329864,15,8,1,0.8246749671163843,30.048387096774192,74340.45792279793,4130.02544015544,2474.024901349153
74,Cam2BEV,59.056853239312474,2,2,0,0.26513097389073664,4.7368421052631575,3767.6506816052047,209.3139267558447,795.3929216722099
